,match,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_home,games_against_away,home_player_1_overall_rating,home_player_2_overall_rating,home_player_3_overall_rating,home_player_4_overall_rating,home_player_5_overall_rating,home_player_6_overall_rating,home_player_7_overall_rating,home_player_8_overall_rating,home_player_9_overall_rating,home_player_10_overall_rating,home_player_11_overall_rating,away_player_1_overall_rating,away_player_2_overall_rating,away_player_3_overall_rating,away_player_4_overall_rating,away_player_5_overall_rating,away_player_6_overall_rating,away_player_7_overall_rating,away_player_8_overall_rating,away_player_9_overall_rating,away_player_10_overall_rating,away_player_11_overall_rating,odds_home,odds_draw,odds_away
79,617,6.0,-15.0,5.0,2.0,1.0,0.0,65.0,66.0,72.0,64.0,68.0,68.0,72.0,71.0,72.0,74.0,66.0,63.0,65.0,68.0,64.0,58.0,63.0,65.0,64.0,65.0,65.0,63.0,0.6465016041557444,0.2111919836760676,0.14230641216818798
83,621,-5.0,7.0,2.0,7.0,0.0,3.0,65.0,64.0,66.0,67.0,66.0,67.0,66.0,62.0,68.0,68.0,64.0,72.0,70.0,69.0,65.0,69.0,68.0,67.0,70.0,68.0,67.0,65.0,0.3780923821685517,0.2852483338804012,0.33665928395104705
84,622,3.0,20.0,6.0,8.0,0.0,1.0,63.0,63.0,64.0,68.0,64.0,61.0,69.0,66.0,61.0,68.0,69.0,74.0,73.0,74.0,72.0,70.0,76.0,67.0,71.0,62.0,77.0,74.0,0.21280751060400102,0.24243537828009334,0.5447571111159056
86,624,12.0,-11.0,6.0,2.0,2.0,0.0,73.0,69.0,70.0,70.0,70.0,72.0,76.0,68.0,76.0,77.0,71.0,71.0,59.0,62.0,67.0,64.0,65.0,72.0,66.0,65.0,65.0,68.0,0.6985098762658848,0.19025034355502785,0.11123978017908734
87,625,-6.0,14.0,2.0,9.0,0.0,0.0,57.0,60.0,63.0,61.0,62.0,64.0,61.0,56.0,64.0,61.0,63.0,65.0,71.0,73.0,72.0,73.0,71.0,69.0,72.0,67.0,62.0,71.0,0.1831922172285064,0.2544389004245229,0.5623688823469707
88,626,4.0,9.0,5.0,6.0,0.0,1.0,68.0,68.0,67.0,67.0,64.0,62.0,61.0,66.0,65.0,72.0,70.0,67.0,69.0,73.0,74.0,69.0,68.0,59.0,63.0,66.0,69.0,72.0,0.34991221362559344,0.2827697347727454,0.3673180516016611
92,630,-2.0,-1.0,0.0,4.0,0.0,0.0,65.0,60.0,63.0,62.0,65.0,61.0,67.0,66.0,63.0,66.0,64.0,69.0,68.0,63.0,64.0,64.0,66.0,66.0,52.0,60.0,71.0,73.0,0.2924722460097443,0.2824591619986607,0.42506859199159497
93,631,-3.0,-1.0,4.0,3.0,0.0,3.0,66.0,67.0,69.0,62.0,65.0,66.0,61.0,64.0,69.0,70.0,63.0,61.0,61.0,64.0,66.0,66.0,64.0,65.0,66.0,60.0,68.0,66.0,0.4729551731959815,0.2757552018928238,0.2512896249111946
94,632,0.0,-3.0,3.0,5.0,3.0,0.0,67.0,71.0,72.0,73.0,73.0,70.0,74.0,55.0,74.0,68.0,70.0,66.0,68.0,64.0,64.0,63.0,68.0,61.0,61.0,69.0,69.0,66.0,0.6049913550408604,0.2297984547543437,0.16521019020479594
95,633,-10.0,-16.0,3.0,1.0,0.0,2.0,57.0,61.0,63.0,60.0,63.0,63.0,61.0,63.0,64.0,62.0,64.0,71.0,62.0,62.0,67.0,65.0,63.0,66.0,68.0,64.0,63.0,67.0,0.3824828209057435,0.28876077955312185,0.3287563995411348
